Validation Rewards,External Rewards
261437.35832369415,-3484924.639999981
261437.35832369415,-3484924.639999981
261437.35832369415,-3484924.639999981
261714.98091563812,-3485280.3599999812
263979.98091563815,-3479778.1399999834
266181.92595410114,-3476830.659999984
266181.92595410114,-3476830.659999984
266111.84482378,-3475999.6399999857
265841.72223183606,-3476143.219999985
265849.22223183606,-3476046.1199999847
265849.22223183606,-3476046.1199999847
263543.89853297966,-3493694.159999983
263543.89853297966,-3493694.159999983
263543.89853297966,-3493694.159999983
263974.81058971724,-3490802.9999999823
263974.81058971724,-3490802.9999999823
263974.81058971724,-3490802.9999999823
263974.81058971724,-3490802.9999999823
263974.81058971724,-3490802.9999999823
262518.00414890435,-3480899.4199999836
264550.4491873674,-3478512.039999984
264550.4491873674,-3478512.039999984
263185.1749367814,-3478668.4599999823
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
257570.43267400208,-3500570.3799999794
261982.502942787,-3479363.7599999816
261982.502942787,-3479363.7599999816
261982.502942787,-3479363.7599999816
261982.502942787,-3479363.7599999816
261982.502942787,-3479363.7599999816
261982.502942787,-3479363.7599999816
261965.502942787,-3477638.519999981
261965.502942787,-3477638.519999981
262999.502942787,-3476844.15999998
263084.0023154344,-3477705.2399999793
268095.6945640201,-3474118.5999999805
268095.6945640201,-3474118.5999999805
263296.5154342493,-3482566.279999978
262263.002942787,-3477353.4599999813
262263.002942787,-3477353.4599999813
264564.12492788455,-3474203.459999982
264461.62492788455,-3474225.159999982
264461.62492788455,-3474225.159999982
265584.12492788455,-3473422.6199999806
268148.4894395765,-3473621.1999999806
262032.62428239366,-3491515.2199999793
262032.62428239366,-3491515.2199999793
260181.03835530923,-3501502.099999978
260181.03835530923,-3501502.099999978
257595.23478026147,-3540170.8599999775
261083.79959983632,-3496357.0599999772
263552.20432650566,-3485304.3399999803
269319.2737253477,-3495478.3799999813
269326.7737253477,-3495348.3799999813
269326.7737253477,-3495348.3799999813
269326.7737253477,-3495348.3799999813
267082.5217245419,-3510323.19999998
267082.5217245419,-3510323.19999998
267082.5217245419,-3510323.19999998
264690.6911038814,-3507290.9599999813
266744.4361680123,-3504635.2999999793
266744.4361680123,-3504635.2999999793
267862.36653187685,-3492176.7999999803
267792.30555626703,-3492416.09999998
267581.30555626703,-3499940.7399999807
269673.312492942,-3494904.2399999807
268714.06049213617,-3501904.79999998
265803.56049213617,-3502600.2799999826
266959.20911888883,-3482366.6599999815
263816.70693575253,-3483264.9799999814
266870.0154342493,-3495842.9399999822
260272.3130551009,-3481019.3999999817
260347.3130551009,-3481347.2399999816
261098.6740696747,-3479349.419999981
261098.6740696747,-3479405.4199999813
263429.2960547723,-3474094.639999982
263429.2960547723,-3474094.639999982
264481.70811150986,-3472835.8399999845
264481.70811150986,-3472835.8399999845
264481.91272596037,-3472596.299999985
264481.91272596037,-3472596.299999985
264481.91272596037,-3472596.299999985
263444.5006692228,-3473437.9399999846
264000.87749084935,-3472280.1399999843
263981.37749084935,-3472452.8399999826
264309.0000827933,-3472808.559999983
263436.7960547723,-3473964.639999982
264578.37749084935,-3472068.859999982
264210.37749084935,-3480217.7799999826
263647.87749084935,-3480762.1599999825
263647.87749084935,-3480762.1599999825
264453.37749084935,-3475390.659999982
264443.37749084935,-3475027.659999982
264443.37749084935,-3475027.659999982
264188.0000827933,-3478610.1199999824
268176.8991784706,-3474360.019999982
268125.6945640201,-3472718.9999999823
272449.68166765594,-3472663.819999982
272449.68166765594,-3472663.819999982
269416.8171559641,-3472556.599999982
269184.1945640201,-3472080.979999982
272217.059075712,-3472188.199999982
272251.559075712,-3471664.639999982
272251.559075712,-3471664.639999982
272251.559075712,-3471664.639999982
272251.559075712,-3471664.639999982
272259.059075712,-3471757.039999982
271432.68166765594,-3478440.2799999826
271367.5047210214,-3492191.1799999815
271333.0047210214,-3492714.7399999816
271005.38212907745,-3492359.0199999814
271005.38212907745,-3492359.0199999814
268262.6945640201,-3477957.3399999817
268350.8991784706,-3477305.239999982
269137.3991784706,-3471512.619999982
269137.3991784706,-3471512.619999982
269137.3991784706,-3471512.619999982
268701.3991784706,-3469293.9199999813
268698.8991784706,-3469430.219999981
268698.8991784706,-3469430.219999981
268864.22223183606,-3470438.839999983
271801.2636901625,-3469251.959999982
272248.08674352797,-3483156.7599999816
272258.08674352797,-3483112.8599999817
271654.58674352797,-3483755.859999982
271652.08674352797,-3483892.1599999825
271798.7636901625,-3469388.2599999816
271798.7636901625,-3469388.2599999816
